Measles,Date,Chickenpox,Date,Mumps,Date,Rubella,Date
32,1928,320,1938,299,1927,30,1938
37,1928.083,401,1938.083,182,1927.083,64,1938.083
17,1928.167,418,1938.167,200,1927.167,53,1938.167
15,1928.25,281,1938.25,215,1927.25,33,1938.25
64,1928.333,150,1938.333,167,1927.333,25,1938.333
163,1928.417,105,1938.417,111,1927.417,16,1938.417
199,1928.5,45,1938.5,28,1927.5,13,1938.5
159,1928.583,17,1938.583,13,1927.583,12,1938.583
326,1928.667,36,1938.667,15,1927.667,31,1938.667
552,1928.75,73,1938.75,10,1927.75,35,1938.75
1226,1928.833,112,1938.833,20,1927.833,34,1938.833
1790,1928.917,114,1938.917,33,1927.917,33,1938.917
2697,1929,301,1939,15,1928,51,1939
1605,1929.083,239,1939.083,28,1928.083,38,1939.083
850,1929.167,252,1939.167,21,1928.167,43,1939.167
433,1929.25,304,1939.25,27,1928.25,30,1939.25
226,1929.333,211,1939.333,15,1928.333,27,1939.333
132,1929.417,125,1939.417,15,1928.417,11,1939.417
40,1929.5,82,1939.5,12,1928.5,20,1939.5
39,1929.583,52,1939.583,10,1928.583,30,1939.583
49,1929.667,57,1939.667,18,1928.667,35,1939.667
95,1929.75,62,1939.75,56,1928.75,32,1939.75
74,1929.833,131,1939.833,162,1928.833,25,1939.833
20,1929.917,185,1939.917,336,1928.917,39,1939.917
15,1930,257,1940,613,1929,64,1940
11,1930.083,264,1940.083,777,1929.083,127,1940.083
24,1930.167,216,1940.167,829,1929.167,284,1940.167
10,1930.25,128,1940.25,959,1929.25,448,1940.25
15,1930.333,155,1940.333,718,1929.333,503,1940.333
17,1930.417,80,1940.417,304,1929.417,216,1940.417
24,1930.5,59,1940.5,83,1929.5,65,1940.5
28,1930.583,33,1940.583,29,1929.583,42,1940.583
46,1930.667,61,1940.667,55,1929.667,44,1940.667
111,1930.75,150,1940.75,63,1929.75,45,1940.75
282,1930.833,351,1940.833,54,1929.833,73,1940.833
366,1930.917,318,1940.917,59,1929.917,90,1940.917
658,1931,413,1941,98,1930,279,1941
1368,1931.083,378,1941.083,97,1930.083,1175,1941.083
1840,1931.167,534,1941.167,101,1930.167,2133,1941.167
1322,1931.25,336,1941.25,95,1930.25,2266,1941.25
664,1931.333,317,1941.333,55,1930.333,1971,1941.333
246,1931.417,275,1941.417,44,1930.417,802,1941.417
75,1931.5,112,1941.5,19,1930.5,183,1941.5
29,1931.583,47,1941.583,22,1930.583,51,1941.583
34,1931.667,66,1941.667,20,1930.667,27,1941.667
104,1931.75,127,1941.75,33,1930.75,53,1941.75
65,1931.833,183,1941.833,47,1930.833,80,1941.833
25,1931.917,252,1941.917,56,1930.917,84,1941.917
68,1932,288,1942,67,1931,91,1942
114,1932.083,223,1942.083,66,1931.083,64,1942.083
90,1932.167,260,1942.167,69,1931.167,76,1942.167
209,1932.25,204,1942.25,60,1931.25,51,1942.25
236,1932.333,249,1942.333,60,1931.333,58,1942.333
172,1932.417,231,1942.417,33,1931.417,45,1942.417
109,1932.5,146,1942.5,8,1931.5,34,1942.5
59,1932.583,81,1942.583,7,1931.583,39,1942.583
90,1932.667,60,1942.667,9,1931.667,32,1942.667
129,1932.75,119,1942.75,29,1931.75,40,1942.75
233,1932.833,193,1942.833,26,1931.833,41,1942.833
301,1932.917,321,1942.917,37,1931.917,57,1942.917
732,1933,480,1943,60,1932,54,1943
733,1933.083,560,1943.083,53,1932.083,72,1943.083
633,1933.167,513,1943.167,46,1932.167,80,1943.167
494,1933.25,375,1943.25,68,1932.25,80,1943.25
392,1933.333,294,1943.333,45,1932.333,68,1943.333
250,1933.417,161,1943.417,37,1932.417,52,1943.417
101,1933.5,113,1943.5,17,1932.5,42,1943.5
68,1933.583,70,1943.583,13,1932.583,36,1943.583
74,1933.667,78,1943.667,16,1932.667,38,1943.667
42,1933.75,106,1943.75,40,1932.75,46,1943.75
100,1933.833,154,1943.833,76,1932.833,34,1943.833
250,1933.917,320,1943.917,110,1932.917,41,1943.917
712,1934,499,1944,184,1933,76,1944
618,1934.083,336,1944.083,129,1933.083,55,1944.083
816,1934.167,422,1944.167,238,1933.167,64,1944.167
676,1934.25,251,1944.25,303,1933.25,53,1944.25
452,1934.333,338,1944.333,378,1933.333,71,1944.333
159,1934.417,208,1944.417,203,1933.417,76,1944.417
61,1934.5,100,1944.5,58,1933.5,62,1944.5
20,1934.583,61,1944.583,36,1933.583,59,1944.583
20,1934.667,86,1944.667,70,1933.667,27,1944.667
15,1934.75,100,1944.75,83,1933.75,67,1944.75
6,1934.833,106,1944.833,155,1933.833,65,1944.833
7,1934.917,151,1944.917,171,1933.917,152,1944.917
13,1935,295,1945,245,1934,555,1945
9,1935.083,261,1945.083,266,1934.083,1014,1945.083
11,1935.167,313,1945.167,232,1934.167,1912,1945.167
11,1935.25,204,1945.25,182,1934.25,1168,1945.25
7,1935.333,115,1945.333,117,1934.333,292,1945.333
7,1935.417,91,1945.417,68,1934.417,194,1945.417
7,1935.5,80,1945.5,19,1934.5,69,1945.5
9,1935.583,53,1945.583,6,1934.583,36,1945.583
23,1935.667,68,1945.667,19,1934.667,41,1945.667
48,1935.75,70,1945.75,23,1934.75,64,1945.75
485,1935.833,153,1945.833,20,1934.833,61,1945.833
2299,1935.917,211,1945.917,18,1934.917,49,1945.917
4792,1936,482,1946,28,1935,125,1946
4245,1936.083,660,1946.083,37,1935.083,195,1946.083
1625,1936.167,584,1946.167,31,1935.167,300,1946.167
420,1936.25,420,1946.25,21,1935.25,267,1946.25
211,1936.333,319,1946.333,15,1935.333,240,1946.333
121,1936.417,144,1946.417,14,1935.417,109,1946.417
65,1936.5,86,1946.5,9,1935.5,203,1946.5
42,1936.583,55,1946.583,12,1935.583,58,1946.583
19,1936.667,65,1946.667,21,1935.667,53,1946.667
26,1936.75,88,1946.75,25,1935.75,72,1946.75
17,1936.833,174,1946.833,43,1935.833,69,1946.833
36,1936.917,211,1946.917,29,1935.917,48,1946.917
60,1937,332,1947,80,1936,86,1947
55,1937.083,314,1947.083,122,1936.083,53,1947.083
58,1937.167,340,1947.167,289,1936.167,64,1947.167
44,1937.25,290,1947.25,206,1936.25,100,1947.25
26,1937.333,176,1947.333,196,1936.333,87,1947.333
11,1937.417,85,1947.417,155,1936.417,69,1947.417
11,1937.5,46,1947.5,54,1936.5,91,1947.5
3,1937.583,34,1947.583,37,1936.583,49,1947.583
5,1937.667,42,1947.667,58,1936.667,45,1947.667
5,1937.75,102,1947.75,88,1936.75,63,1947.75
12,1937.833,173,1947.833,196,1936.833,63,1947.833
37,1937.917,288,1947.917,229,1936.917,68,1947.917
15,1938,394,1948,430,1937,104,1948
10,1938.083,382,1948.083,572,1937.083,72,1948.083
9,1938.167,355,1948.167,644,1937.167,106,1948.167
11,1938.25,311,1948.25,691,1937.25,112,1948.25
5,1938.333,199,1948.333,361,1937.333,105,1948.333
2,1938.417,157,1948.417,160,1937.417,98,1948.417
5,1938.5,96,1948.5,42,1937.5,54,1948.5
13,1938.583,102,1948.583,26,1937.583,44,1948.583
45,1938.667,126,1948.667,30,1937.667,44,1948.667
271,1938.75,198,1948.75,28,1937.75,60,1948.75
717,1938.833,216,1948.833,27,1937.833,57,1948.833
1376,1938.917,275,1948.917,24,1937.917,84,1948.917
4060,1939,490,1949,51,1938,137,1949
3666,1939.083,428,1949.083,63,1938.083,96,1949.083
2634,1939.167,405,1949.167,46,1938.167,114,1949.167
608,1939.25,319,1949.25,27,1938.25,126,1949.25
177,1939.333,213,1949.333,48,1938.333,155,1949.333
77,1939.417,131,1949.417,24,1938.417,91,1949.417
66,1939.5,68,1949.5,5,1938.5,63,1949.5
45,1939.583,63,1949.583,6,1938.583,52,1949.583
20,1939.667,94,1949.667,7,1938.667,52,1949.667
25,1939.75,133,1949.75,16,1938.75,76,1949.75
23,1939.833,242,1949.833,54,1938.833,58,1949.833
23,1939.917,280,1949.917,25,1938.917,66,1949.917
49,1940,471,1950,48,1939,111,1950
37,1940.083,602,1950.083,37,1939.083,114,1950.083
13,1940.167,724,1950.167,26,1939.167,189,1950.167
19,1940.25,509,1950.25,14,1939.25,146,1950.25
38,1940.333,348,1950.333,18,1939.333,150,1950.333
39,1940.417,221,1950.417,11,1939.417,79,1950.417
27,1940.5,122,1950.5,5,1939.5,37,1950.5
50,1940.583,88,1950.583,13,1939.583,71,1950.583
38,1940.667,99,1950.667,10,1939.667,99,1950.667
72,1940.75,170,1950.75,18,1939.75,102,1950.75
118,1940.833,220,1950.833,13,1939.833,79,1950.833
225,1940.917,288,1950.917,3,1939.917,54,1950.917
601,1941,607,1951,25,1940,121,1951
972,1941.083,699,1951.083,24,1940.083,121,1951.083
1010,1941.167,778,1951.167,13,1940.167,107,1951.167
1566,1941.25,782,1951.25,15,1940.25,121,1951.25
2190,1941.333,465,1951.333,16,1940.333,85,1951.333
1417,1941.417,270,1951.417,0.00E+00,1940.417,43,1951.417
442,1941.5,138,1951.5,8,1940.5,59,1951.5
144,1941.583,115,1951.583,3,1940.583,83,1951.583
111,1941.667,128,1951.667,7,1940.667,117,1951.667
71,1941.75,118,1951.75,6,1940.75,78,1951.75
101,1941.833,144,1951.833,9,1940.833,77,1951.833
75,1941.917,179,1951.917,6,1940.917,78,1951.917
174,1942,322,1952,3,1941,85,1952
145,1942.083,369,1952.083,7,1941.083,116,1952.083
151,1942.167,345,1952.167,18,1941.167,146,1952.167
232,1942.25,288,1952.25,12,1941.25,120,1952.25
271,1942.333,238,1952.333,12,1941.333,96,1952.333
293,1942.417,174,1952.417,18,1941.417,73,1952.417
197,1942.5,111,1952.5,13,1941.5,52,1952.5
